奖励ID	所属类型	礼包名称	礼物等级	礼物经验	奖励贡献度	奖励金币	奖励道具ID	道具数量	奖励贡献度|金币|道具权重
1009	1	木质礼包	9	50	1800	-1	22005|21001|21301|21007|21051|21001|21156|21207|20651|20652|20653|22002|20751|21304|21008|21057|21107|21157|21201	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1000|0|500
1010	1	木质礼包	10	50	1900	-1	22005|21001|21301|21007|21051|21001|21156|21207|20651|20652|20653|22002|20751|21306|21008|21057|21107|21157|21201	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1000|0|500
2001	2	石质礼包	1	100	2000	-1	20701|22003|21303|21001|21051|21101|21151|21207|21304|23251|21305|22004|22005	1|1|1|1|1|1|1|1|1|1|1|1|1	1000|0|500
2002	2	石质礼包	2	100	2100	-1	20701|22003|21303|21001|21051|21101|21151|21207|21304|23251|21306|22004|22005	1|1|1|1|1|1|1|1|1|1|1|1|1	1000|0|500
2003	2	石质礼包	3	100	2200	-1	20701|22003|21303|21001|21051|21101|21151|21207|21304|23251|21306|22004|22005|22006	1|1|1|1|1|1|1|1|1|1|1|1|1|1	1000|0|500
2004	2	石质礼包	4	100	2300	-1	20701|22003|21303|21001|21051|21101|21151|21207|21304|23251|21306|22004|22005|22006|20051	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1000|0|500
2005	2	石质礼包	5	100	2400	-1	20701|22003|21303|21001|21051|21101|21151|21207|21304|23251|21306|22004|22005|22006|20051|21002	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1000|0|500
2006	2	石质礼包	6	100	2500	-1	20701|22003|21303|21001|21051|21101|21151|21207|21304|23251|21306|22004|22005|22006|20051|21002|21052	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1000|0|500
2007	2	石质礼包	7	100	2600	-1	20701|22003|21303|21001|21051|21101|21151|21207|21304|23251|21306|22004|22005|22006|20051|21002|21052|21102	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1000|0|500
2008	2	石质礼包	8	100	2700	-1	20701|22003|21303|21001|21051|21101|21151|21207|21304|23251|21306|22004|22005|22006|20051|21002|21052|21102|21152	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1000|0|500
2009	2	石质礼包	9	100	2800	-1	20701|22003|21303|21001|21051|21101|21151|21207|21304|23251|21306|22004|22005|22006|20051|21002|21052|21102|21152|21202	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1000|0|500
2010	2	石质礼包	10	100	2900	-1	20701|22003|21303|21304|23251|21306|22004|22005|22006|20051|21002|21052|21102|21152|21202|20001	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1000|0|500
3001	3	青铜礼包	1	200	4000	50	20651|20652|20653|21306|22006|20051|21002|21052|21102|21152|21202	3|3|3|1|1|1|1|1|1|1|1	1000|250|500
3002	3	青铜礼包	2	200	4100	50	20651|20652|20653|21306|22006|20051|21002|21052|21102|21152|21202|30001	3|3|3|1|1|1|1|1|1|1|1|1	1000|250|500
3003	3	青铜礼包	3	200	4200	60	20651|20652|20653|21306|22006|20051|21002|21052|21102|21152|21202|30001|30002	3|3|3|1|1|1|1|1|1|1|1|1|1	1000|250|500
3004	3	青铜礼包	4	200	4300	60	20651|20652|20653|21306|22006|20051|21002|21052|21102|21152|21202|30001|30002|30003	3|3|3|1|1|1|1|1|1|1|1|1|1|1	1000|250|500
3005	3	青铜礼包	5	200	4400	70	20651|20652|20653|21306|22006|20051|21002|21052|21102|21152|21202|30001|30002|30003|30004	3|3|3|1|1|1|1|1|1|1|1|1|1|1|1	1000|250|500
3006	3	青铜礼包	6	200	4500	70	20651|20652|20653|21306|22006|20051|21002|21052|21102|21152|21202|30001|30002|30003|30004|30005	3|3|3|1|1|1|1|1|1|1|1|1|1|1|1|1	1000|250|500
3007	3	青铜礼包	7	200	4600	80	20651|20652|20653|21306|22006|20051|21002|21052|21102|21152|21202|30001|30002|30003|30004|30005|30006	3|3|3|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1000|250|500
3008	3	青铜礼包	8	200	4700	80	20651|20652|20653|21306|22006|20051|21002|21052|21102|21152|21202|30001|30002|30003|30004|30005|30006|30007	3|3|3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1000|250|500
3009	3	青铜礼包	9	200	4800	90	20651|20652|20653|21306|22006|20051|21002|21052|21102|21152|21202|30001|30002|30003|30004|30005|30006|30007|30008	3|3|3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1000|250|500
3010	3	青铜礼包	10	200	4900	90	20651|20652|20653|21306|22006|20051|21002|21052|21102|21152|21202|30001|30002|30003|30004|30005|30006|30007|30008|30009|30010	3|3|3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1000|250|500
4001	4	白银礼包	1	500	6000	100	20651|20652|20653|23201|30006|30007|30008|30009|30010|20001|23051|23101|22007|21306	5|5|5|1|1|1|1|1|1|1|1|1|1|1	1000|250|500
4002	4	白银礼包	2	500	6100	110	20651|20652|20653|23201|30006|30007|30008|30009|30010|20001|23051|23101|22007|21306|20052	5|5|5|1|1|1|1|1|1|1|1|1|1|1|1	1000|250|500
4003	4	白银礼包	3	500	6200	120	20651|20652|20653|23201|30006|30007|30008|30009|30010|20001|23051|23101|22007|21306|20052|20101	5|5|5|1|1|1|1|1|1|1|1|1|1|1|1|1	1000|250|500
4004	4	白银礼包	4	500	6300	130	20651|20652|20653|23201|30006|30007|30008|30009|30010|20001|23051|23101|22007|21306|20052|20101|20501	5|5|5|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1000|250|500
4005	4	白银礼包	5	500	6400	140	20651|20652|20653|23201|30006|30007|30008|30009|30010|20001|23051|23101|22007|21306|20052|20101|20501|21003	5|5|5|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1000|250|500
4006	4	白银礼包	6	500	6500	150	20651|20652|20653|23201|30006|30007|30008|30009|30010|20001|23051|23101|22007|21306|20052|20101|20501|21003|21053	5|5|5|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1000|250|500
4007	4	白银礼包	7	500	6600	160	20651|20652|20653|23201|30006|30007|30008|30009|30010|20001|23051|23101|22007|21306|20052|20101|20501|21003|21053|21103	5|5|5|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1000|250|500
4008	4	白银礼包	8	500	6700	170	20651|20652|20653|23201|30006|30007|30008|30009|30010|20001|23051|23101|22007|21306|20052|20101|20501|21003|21053|21103|21153	5|5|5|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1000|250|500
4009	4	白银礼包	9	500	6800	180	20651|20652|20653|23201|30006|30007|30008|30009|30010|20001|23051|23101|22007|21306|20052|20101|20501|21003|21053|21103|21153|21203	5|5|5|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1000|250|500
4010	4	白银礼包	10	500	6900	190	20651|20652|20653|23201|30006|30007|30008|30009|30010|20001|23051|23101|22007|21306|20052|20101|20501|21003|21053|21103|21153|21203|20301	5|5|5|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1000|250|500
5001	5	黄金礼包	1	1000	10000	200	20651|20652|20653|20052|20101|20501|21003|21053|21103|21153|21203|23052|23102|20301|21306	8|8|8|1|1|1|1|1|1|1|1|1|1|1|1	1000|250|500
5002	5	黄金礼包	2	1000	11000	210	20651|20652|20653|20052|20101|20501|21003|21053|21103|21153|21203|23052|23102|20301|21306|20401	8|8|8|1|1|1|1|1|1|1|1|1|1|1|1|1	1000|250|500
5003	5	黄金礼包	3	1000	12000	220	20651|20652|20653|20052|20101|20501|21003|21053|21103|21153|21203|23052|23102|20301|21306|20401|20051	8|8|8|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1000|250|500
5004	5	黄金礼包	4	1000	13000	230	20651|20652|20653|20052|20101|20501|21003|21053|21103|21153|21203|23052|23102|20301|21306|20401|20051|23001	8|8|8|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1000|250|500
5005	5	黄金礼包	5	1000	14000	240	20651|20652|20653|20052|20101|20501|21003|21053|21103|21153|21203|23052|23102|20301|21306|20401|20051|23001|20451	10|10|10|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1000|250|500
5006	5	黄金礼包	6	1000	15000	250	20651|20652|20653|20052|20101|20501|21003|21053|21103|21153|21203|23052|23102|20301|21306|20401|20051|23001|20451	10|10|10|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1000|250|500
5007	5	黄金礼包	7	1000	16000	260	20651|20652|20653|20052|20101|20501|21003|21053|21103|21153|21203|23052|23102|20301|21306|20401|20051|23001|20451	10|10|10|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1000|250|500
5008	5	黄金礼包	8	1000	17000	270	20651|20652|20653|20052|20101|20501|21003|21053|21103|21153|21203|23052|23102|20301|21306|20401|20051|23001|20451	10|10|10|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1000|250|500
5009	5	黄金礼包	9	1000	18000	280	20651|20652|20653|20052|20101|20501|21003|21053|21103|21153|21203|23052|23102|20301|21306|20401|20051|23001|20451	10|10|10|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1000|250|500
5010	5	黄金礼包	10	1000	19000	290	20651|20652|20653|20052|20101|20501|21003|21053|21103|21153|21203|23052|23102|20301|21306|20401|20051|23001|20451	10|10|10|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1000|250|500
6001	6	怪物击杀礼包	1	1	1100	10	22003|21303|21001|21051|21101|21151|21207|21304|23251|21305|22004|22005	1|1|1|1|1|1|1|1|1|1|1|1|1	1000|0|1000
6002	6	怪物击杀礼包	2	1	1200	20	22003|21303|21001|21051|21101|21151|21207|21304|23251|21306|22004|22005	1|1|1|1|1|1|1|1|1|1|1|1|1	1000|0|1000
6003	6	怪物击杀礼包	3	1	1300	30	22003|21303|21001|21051|21101|21151|21207|21304|23251|21306|22004|22005|22006	1|1|1|1|1|1|1|1|1|1|1|1|1|1	1000|0|1000
6004	6	怪物击杀礼包	4	1	1400	40	22003|21303|21001|21051|21101|21151|21207|21304|23251|21306|22004|22005|22006|20051	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1000|0|1000
6005	6	怪物击杀礼包	5	1	1500	50	22003|21303|21001|21051|21101|21151|21207|21304|23251|21306|22004|22005|22006|20051|21002	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1000|0|1000
6006	6	怪物击杀礼包	6	1	1600	60	22003|21303|21001|21051|21101|21151|21207|21304|23251|21306|22004|22005|22006|20051|21002|21052	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1000|0|1000
6007	6	怪物击杀礼包	7	1	1700	70	22003|21303|21001|21051|21101|21151|21207|21304|23251|21306|22004|22005|22006|20051|21002|21052|21102	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1000|0|1000
6008	6	怪物击杀礼包	8	1	1800	80	22003|21303|21001|21051|21101|21151|21207|21304|23251|21306|22004|22005|22006|20051|21002|21052|21102|21152	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1000|0|1000
6009	6	怪物击杀礼包	9	1	1900	90	22003|21303|21001|21051|21101|21151|21207|21304|23251|21306|22004|22005|22006|20051|21002|21052|21102|21152|21202	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1000|0|1000
6010	6	怪物击杀礼包	10	1	2000	100	22003|21303|21304|23251|21306|22004|22005|22006|20051|21002|21052|21102|21152|21202|20001	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1000|0|1000
7001	7	钻石礼包	1	1000	10000	410	-1	-1	0|1000|0
7002	7	钻石礼包	2	1000	11000	420	-1	-1	0|1000|0
7003	7	钻石礼包	3	1000	12000	430	-1	-1	0|1000|0
7004	7	钻石礼包	4	1000	13000	440	-1	-1	0|1000|0
7005	7	钻石礼包	5	1000	14000	450	-1	-1	0|1000|0
7006	7	钻石礼包	6	1000	15000	460	-1	-1	0|1000|0
7007	7	钻石礼包	7	1000	16000	470	-1	-1	0|1000|0
7008	7	钻石礼包	8	1000	17000	480	-1	-1	0|1000|0
7009	7	钻石礼包	9	1000	18000	490	-1	-1	0|1000|0
7010	7	钻石礼包	10	1000	19000	500	-1	-1	0|1000|0
8001	8	精英boss礼包	1	1	1100	10	13001|13002|13011|13012|13021|13022	1|1|1|1|1|1	0|0|1000
8002	8	精英boss礼包	2	1	1200	20	13001|13002|13011|13012|13021|13022	1|1|1|1|1|1	0|0|1000
8003	8	精英boss礼包	3	1	1300	30	13001|13002|13011|13012|13021|13022	1|1|1|1|1|1	0|0|1000
8004	8	精英boss礼包	4	1	1400	40	13001|13002|13011|13012|13021|13022	1|1|1|1|1|1	0|0|1000
8005	8	精英boss礼包	5	1	1500	50	13001|13002|13011|13012|13021|13022	1|1|1|1|1|1	0|0|1000
8006	8	精英boss礼包	6	1	1600	60	13001|13002|13011|13012|13021|13022	1|1|1|1|1|1	0|0|1000
8007	8	精英boss礼包	7	1	1700	70	13001|13002|13011|13012|13021|13022	1|1|1|1|1|1	0|0|1000
8008	8	精英boss礼包	8	1	1800	80	13001|13002|13011|13012|13021|13022	1|1|1|1|1|1	0|0|1000
8009	8	精英boss礼包	9	1	1900	90	13001|13002|13011|13012|13021|13022	1|1|1|1|1|1	0|0|1000
8010	8	精英boss礼包	10	1	2000	100	13001|13002|13011|13012|13021|13022	1|1|1|1|1|1	0|0|1000
